id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
0,"Radisson Blu Royal Hotel, Bergen",8.2,Bergenhus,Very Good,7620,574,0.6,Standard Room,4,Not included
1,Moxy Bergen,8.3,Årstad,Very Good,2170,554,1.6,"Standard, Guest room, 1 Queen",3,Breakfast included
2,Citybox Bergen City,8.1,Bergenhus,Very Good,5861,444,0.6,Single Room,3,Not included
3,Fabryka,7.7,Bergenhus,Good,407,184,0.35,Budget Single Room,0,Not included
4,Comfort Hotel Bergen,8,Bergenhus,Very Good,730,466,0.6,Standard Double Room,3,Breakfast included
5,Citybox Bergen Danmarksplass,8.4,Årstad,Very Good,2935,340,2,Single Room,3,Not included
6,Det Hanseatiske Hotel,8.2,Bergenhus,Very Good,2825,1111,0.35,Junior Suite,4,Breakfast included
7,Magic Hotel Xhibition,7.2,Bergenhus,Good,1180,466,0.1,Single Room,3,Not included
8,Thon Hotel Orion,8.4,Bergenhus,Very Good,837,465,0.7,Standard Double Room,4,Breakfast included
9,Magic Hotel Korskirken,7.5,Bergenhus,Good,1106,533,0.25,Small Double Room - Atrium,4,Breakfast included
10,Annehelenes B&B,8.9,Bergenhus,Excellent,183,334,0.7,Small Double Room,0,Not included
11,Bergen Hostel Montana,8.4,Årstad,Very Good,2336,160,3.3,Bed in 4-Bed Mixed Dormitory Room,0,Breakfast included
12,Zander K Hotel,8.1,Bergenhus,Very Good,5482,565,0.7,Standard Queen Room,4,Breakfast included
13,Quality Hotel Edvard Grieg,7.9,Ytrebygda,Good,909,574,11.3,Double Room,4,Breakfast included
14,Magic Hotel & Apartments Kløverhuset,7.3,Bergenhus,Good,953,667,0.15,Apartment,4,Not included
15,Thon Hotel Rosenkrantz Bergen,8.6,Bergenhus,Excellent,386,511,0.45,"Small Double Room 9-11 mq - suggested for 1 person,",4,Breakfast included
16,Augustin Hotel,7.4,Bergenhus,Good,3572,450,0.5,Standard Single Room,3,Breakfast included
17,Clarion Hotel Bergen,8.1,Bergenhus,Very Good,1231,631,0.4,Standard Single Room,4,Breakfast included
18,Hotel Park Bergen,8.6,Bergenhus,Excellent,611,574,0.7,Single Room,3,Breakfast included
19,Bergen Børs Hotel,8.4,Bergenhus,Very Good,2472,666,0.1,Standard Single Room,5,Breakfast included
20,Hotel Norge by Scandic,8.3,Bergenhus,Very Good,2191,755,0.15,Single Room,5,Breakfast included
21,"Thon Hotel Bristol, Bergen",8.5,Bergenhus,Very Good,266,551,0.1,Standard Double Room,4,Not included
22,Scandic Byparken,7.6,Bergenhus,Good,1738,513,0.3,Standard Single Room,4,Breakfast included
23,Hordaheimen Hotel,6.9,Bergenhus,Review score,510,458,0.45,Economy Room,3,Breakfast included
24,"Bergen Harbour Hotel, WorldHotels Crafted",8.3,Bergenhus,Very Good,686,448,0.4,Economy Single Room,4,Breakfast included
25,Zagreb Speeka,8.1,LowerTown,Very Good,690,106,0.45,Bed in 4-Bed Dormitory Room,0,Not included
26,Timeout Heritage Hotel Zagreb,7.7,LowerTown,Good,2688,228,0.3,Family Room with City View,4,Not included
27,The Westin Zagreb,8.2,LowerTown,Very Good,2568,500,1.1,"Deluxe Queen Non Smoking, Guest room, 1 Queen, City view",5,Not included
28,HI Hostel Zagreb,6.8,LowerTown,Review score,2059,78,0.8,Single Bed in 6-Bed Dormitory Room,0,Not included
29,Dormir Apartments,9.3,Zagreb,Wonderful,222,211,1.9,Apartment with Balcony,3,Not included
30,Funk Lounge Hostel,8.1,Maksimir,Very Good,1245,83,2.3,Single Bed in 4-Bed Dormitory Room,0,Not included
31,Chillout Hostel Zagreb,8.5,LowerTown,Very Good,1089,63,0.35,Single Bed in 6-Bed Dormitory Room,0,Not included
32,MANDA Heritage Hotel,9.2,LowerTown,Wonderful,1285,336,0.5,Standard King Room,0,Not included
33,Neno,7.8,Maksimir,Good,446,94,2.1,Double Room,0,Not included
34,Sheraton Zagreb Hotel,8.7,LowerTown,Excellent,3041,524,0.8,"Deluxe Queen Non Smoking, Guest room, 1 Queen",5,Not included
35,Piccolo Apartments,8.7,LowerTown,Excellent,653,263,0.8,Deluxe Studio,3,Not included
36,Hotel Dubrovnik,8.8,LowerTown,Excellent,3667,500,0.1,Standard Single Room,4,Breakfast included
37,Main Square Hostel,8.4,UpperTown–Medvescak,Very Good,1749,90,0.1,Bed in 8-Bed Mixed Dormitory Room,0,Breakfast included
38,Hotel Meridijan16,8.2,Zagreb,Very Good,1723,336,2,Single Room,3,Breakfast included
39,Hotel International,8.8,Zagreb,Excellent,3079,439,1.6,Classic Double or Twin Room,4,Not included
40,Art Hotel Like,7.9,LowerTown,Good,2633,283,0.5,Superior Single Room,3,Not included
41,Swanky Mint Hostel,8.7,LowerTown,Excellent,1389,118,0.7,Bunk Bed in 11-Bed Dormitory Room,0,Not included
42,Admiral Hotel,9.2,Jarun,Wonderful,2377,668,5,Single Room,4,Breakfast included
43,Hotel Central,8.1,LowerTown,Very Good,3114,345,0.9,Comfort Single Room,3,Breakfast included
